time (sec),X vibration (m/s^2),Y vibration (m/s^2),Z vibration (m/s^2)
9.9996,0.00929351,-0.0329929,0.0616052
10.0096,0.0122884,-0.0142794,0.0429061
10.0196,0.000768519,-0.0250444,0.0155281
10.0296,0.017081,-0.0399992,-0.0712556
10.0396,0.00421429,-0.0257749,0.00446598
10.0496,0.00750829,-0.00825865,0.0837789
10.0596,-0.0201725,0.0343965,0.0399408
10.0696,-0.0111924,0.0136058,-0.0604599
10.0796,0.00736437,0.0219941,0.000297979
10.0896,0.00197927,0.00988223,0.03876
10.0996,-0.00834389,-0.0168941,-0.0480238
10.1096,-0.00505017,-0.00760801,-0.0768983
10.1196,0.0126086,-0.0171762,0.0687035
10.1296,-0.00414905,-0.00699234,0.039829
10.1396,-0.0141731,-0.00309327,-0.0349839
10.1496,-0.0149198,0.00454668,-0.0324347
10.1596,-0.00189993,-0.0195364,0.0729148
10.1696,0.00887533,-0.0210243,0.0405986
10.1796,0.0120191,-0.00949389,-0.0409481
10.1896,0.00379038,0.00472995,-0.00757382
10.1996,0.00723329,-0.0238423,0.0114353
10.2096,0.00977833,0.00205312,-0.00905965
10.2196,0.0189073,-0.00152989,-0.052449
10.2296,-0.00608088,0.0138909,-0.0255092
10.2396,0.0120262,0.0496623,0.00232841
10.2496,-0.0303199,0.0100167,-0.0112833
10.2596,-0.0074246,0.000897024,0.00353587
10.2696,-0.00143824,0.0315806,0.0910784
10.2796,-0.00233522,0.0157272,0.0708826
10.2896,-0.00996591,-0.00356788,-0.0863803
10.2996,-0.00577535,-0.00311098,-0.0392397
10.3096,0.00499915,0.0153023,0.042467
10.3196,0.0157736,0.000196916,-0.02666
10.3296,-0.00308006,0.00903337,-0.0363814
10.3396,-0.00382774,-0.00128371,-0.0148287
10.3496,-0.0126559,-0.00127589,0.0180964
10.3596,-0.0187906,0.00411881,0.0224409
10.3696,-0.00562224,0.0156486,-0.0561134
10.3796,-0.00292851,0.00458317,-0.00208963
10.3896,0.00500243,-0.00154426,0.152041
10.3996,0.010988,-0.0160514,-0.0136018
10.4096,0.000363925,0.00759879,-0.0457688
10.4196,0.0105392,-0.0199268,-0.00865407
10.4296,0.00934211,-0.0125871,0.0248694
10.4396,0.00290764,-0.00494814,-0.0146299
10.4496,0.0145791,-0.0169116,-0.0535306
10.4596,0.0105387,-0.0210941,0.0302707
10.4696,-0.00203103,0.00120914,0.00753063
10.4796,-0.00607157,0.0239612,-0.025684
10.4896,-0.0178933,0.0185816,0.0254964
10.4996,-0.0195397,0.0378919,0.00948997
10.5096,0.00275559,0.0419393,0.043911
10.5196,-0.0205883,0.012468,-0.000376801
10.5296,-0.0150524,0.012924,-0.034639
10.5396,-0.00861877,0.0011098,-0.0337366
10.5496,-0.006375,-0.0087592,0.0134034
10.5596,-0.00158748,0.00576252,-0.0539285
10.5696,-0.000391301,0.00277671,-0.0751725
10.5796,0.0138232,0.00697341,0.0384062
10.5896,0.0082856,-0.0177098,0.000851779
10.5996,0.0166641,-0.000195523,-0.0203922
10.6096,0.0118746,-0.0233825,0.0177695
10.6196,-0.00279101,-0.0133501,0.0517413
10.6296,0.00394133,0.00416403,0.0765853
10.6396,0.0238416,0.00207572,0.00865449
10.6496,0.0238402,0.00208227,0.00865872
10.6596,0.00663051,-0.0226013,-0.0368266
10.6696,0.000793121,-0.0121202,-0.0688447
10.6796,-0.013424,-0.0017889,-0.00958445
10.6896,-0.00115547,-0.000286165,0.0152593
10.6996,-0.0204603,-0.00506822,-0.0155617
10.7096,-0.0162723,0.00840534,-0.0264812
10.7196,0.00437563,-0.00580392,0.0588157
10.7296,-0.0174733,0.0205383,0.0601664
