time (sec),X vibration (m/s^2),Y vibration (m/s^2),Z vibration (m/s^2)
8.99114,0.0137106,0.0099915,-0.0779111
9.00114,0.00817788,0.00355793,0.031318
9.01114,0.00818176,0.00355869,0.0313123
9.02114,0.0170142,-0.0404337,-0.000715533
9.03114,0.00385006,-0.0313052,-0.00880154
9.04115,0.0183687,-0.00676417,0.0151347
9.05115,0.0149309,0.0101454,0.0348811
9.06115,0.0315445,0.00296338,0.0534304
9.07115,0.00805541,-0.00870774,0.0348698
9.08115,-0.00136782,0.0135886,-0.0411512
9.09115,-1.72086e-05,0.000869952,-0.0634527
9.10115,-0.0128821,-0.0164875,-0.033082
9.11115,-0.0167688,0.0195753,0.0279641
9.12116,-0.00898378,-0.00691,-0.0169325
9.13116,-0.0208012,-0.00137314,0.00805123
9.14116,-0.00897603,0.00610897,0.0105895
9.15116,-0.0136109,0.0174816,-0.00408051
9.16116,-0.00163611,0.0348396,0.0131221
9.17116,-0.00612136,0.0387304,0.060701
9.18116,-0.0116541,0.0216719,0.0701225
9.19116,0.000919264,0.0260115,-0.103162
9.20117,-0.00760618,0.0186794,-0.0696492
9.21117,0.0139453,0.0173327,0.0898579
9.22117,0.0145477,0.00775596,-0.00232375
9.23117,0.0161975,-0.0311496,-0.10917
9.24117,0.0054275,-0.0286058,-0.00577642
9.25117,0.00243857,0.00835436,0.103602
9.26117,0.00812856,-0.0359382,-0.0159627
9.27118,0.00603743,-0.0203761,-0.0478408
9.28118,0.0120267,-0.000923516,0.0440306
9.29118,0.0250488,0.0438176,0.0932556
9.30118,0.00604872,0.0171821,-0.0234664
9.31118,-0.00277609,-0.00496436,-0.126422
9.32118,0.00186637,0.000571929,0.00809605
9.33118,-0.00441465,0.000721272,0.0252988
9.34118,-0.0083015,-0.0118485,-0.0389007
9.35119,-0.00635253,-0.0359404,-0.0176577
9.36119,-0.0121847,-0.00990395,-0.0284369
9.37119,-0.0142759,0.00431114,-0.00210621
9.38119,-0.000655356,0.0231649,0.0445751
9.39119,-0.0054401,0.0076023,0.0406792
9.40119,-0.00349121,0.000718563,0.0248123
9.41119,-0.00692925,0.0138861,0.00849662
9.42119,-0.00183803,0.0310938,-0.00961472
9.4312,0.000559714,-0.0073633,-0.042989
9.4412,-0.00542221,-0.0133493,-0.00423838
9.4512,0.000566777,-0.00571838,0.00219072
9.4612,0.00850102,0.00954399,-0.0263951
9.4712,0.00925268,-0.0185883,-0.0305902
9.4812,0.00102613,-0.0138005,0.00382098
9.4912,0.00342376,-0.00736676,-0.0160859
9.5012,-0.00046338,0.010589,0.00844929
9.51121,0.00881748,-3.58541e-05,0.03897
9.52121,0.00268575,-0.000784706,0.0603628
9.53121,-0.00209927,0.0141783,-0.0446873
9.54121,-0.00523832,0.00983811,-0.0147651
9.55121,-0.00179337,0.00804176,0.00408396
9.56121,0.00838519,0.00265412,0.0111118
9.57121,8.78585e-06,-0.00767155,-0.0361785
9.58121,0.00195728,-0.0115629,-0.0584795
9.59122,0.00644958,-4.16036e-05,-0.00730888
9.60122,-0.00596709,0.00923509,0.0559823
9.61122,0.0012186,0.00160283,-0.00253068
9.62122,0.0160357,-0.00617908,0.000905902
9.63122,0.00511535,-0.00243898,0.0359158
9.64122,0.00661477,0.0191079,0.0178047
9.65122,0.00736598,-0.0230905,-0.0475915
9.66122,0.0130552,-0.00304004,0.00268139
9.67123,-0.00654426,0.00174747,0.011056
9.68123,-0.00265078,-0.000797222,-0.0434167
9.69123,-0.00474279,-0.0106741,-0.0526992
9.70123,0.00603392,0.00219374,-0.00556861
9.71123,-0.00937581,-0.00364299,0.0851062
9.72123,-0.00219044,0.00802775,0.00459674
9.73123,-0.00547967,0.00249028,-0.057657
9.74123,-0.00607547,0.00937263,0.111278
9.75124,0.00425216,-0.000803598,-0.00828686
9.76124,-0.00517226,0.014608,-0.0925372
9.77124,-0.00935945,0.0114647,0.0614339
9.78124,0.0105448,0.0104163,0.0249177
9.79124,-0.00486516,0.00278383,-0.00606201
9.80124,0.00172139,-0.00634499,-0.108867
9.81124,0.000377164,-0.0100869,-0.0258239
9.82124,-0.0118906,0.00831741,0.101512
9.83125,-0.00919467,-0.00215816,-0.0134138
9.84125,-0.00754627,-0.0235572,-0.0174589
9.85125,0.00263138,-0.0174231,0.043139
9.86125,0.0021848,8.33077e-05,0.0316121
9.87125,-0.00768892,-0.00560393,0.00542082
9.88125,0.00458354,-0.0231125,-0.00894918
9.89125,-0.00139971,-0.00800022,0.0550904
9.90125,0.0027923,-0.00126764,0.00465797
9.91126,0.00937846,-0.00500962,-0.0421832
9.92126,0.00593893,-0.0078538,-0.030666
9.93126,0.00534245,0.0133935,0.0402568
9.94126,0.00938468,0.00920259,-0.0207998
9.95126,-0.00542735,0.00171966,-0.0242463
9.96126,-0.00841812,0.00156891,0.0435341
9.97126,-0.00916438,0.0100971,0.0171932
9.98127,-0.00871358,0.00665432,0.00177572
9.99127,-0.00631755,0.0225147,-0.00660884
10.0013,-0.0136479,0.023561,0.0275034
10.0113,-0.0125987,0.00470563,0.00265879
10.0213,-0.00840713,-0.00352554,-0.061241
10.0313,-0.000923601,-0.0138516,-0.0416435
10.0413,-0.000921937,-0.0138528,-0.0416484
10.0513,-0.00256631,0.0138288,-0.00125151
10.0613,-0.00256472,0.0138276,-0.00125647
10.0713,0.00686394,-0.00502776,0.0148993
10.0813,0.00970855,-0.00308367,0.0189345
10.0913,0.0107575,0.00200277,0.0458641
10.1013,0.0213831,-0.0072759,0.0362824
